ASV,Kingdom,Phylum,Class,Order,Family,Genus,Site,Hours,Oxygen,Label,baseMean,log2FoldChange,lfcSE,pvalue,padj
Seq_651,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Acidipila,Čertovo,48 h,Oxic,Labelled,42.66411298086927,2.4168731844022826,0.2852911059660499,1.1980591684986671e-14,2.038297998672399e-12
Seq_302,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Unclassified,Čertovo,48 h,Oxic,Labelled,43.58977223989103,3.016123333583575,0.47952664468836365,2.3304398177152937e-9,1.5249442089254946e-7
Seq_136,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Unclassified,Unclassified,Čertovo,48 h,Oxic,Labelled,44.746827678797004,1.5111443134949853,0.27011148406907703,1.0465984156232305e-8,5.806345992761922e-7
Seq_221,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Unclassified,Čertovo,48 h,Oxic,Labelled,44.981963643712525,0.8585545775995371,0.20495222018568998,6.208043000861592e-5,0.0017603250820220867
Seq_600,Bacteria,Actinobacteriota,Actinobacteria,Catenulisporales,Actinospicaceae,Actinospica,Čertovo,48 h,Oxic,Labelled,46.51088387376207,2.912468851937165,0.44666061860165784,7.707002015263211e-10,5.7847850420446225e-8
Seq_161,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,Unclassified,Unclassified,Čertovo,48 h,Oxic,Labelled,47.7024632695656,1.1854490655385828,0.1862762166281006,7.489538700885504e-10,5.7847850420446225e-8
Seq_257,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Rhodopila,Čertovo,48 h,Oxic,Labelled,49.49704036790141,1.0753488744397335,0.28900255754086257,1.763449907358e-5,5.555955757503229e-4
Seq_244,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Unclassified,Čertovo,48 h,Oxic,Labelled,53.23443553560708,0.7322373357957045,0.16834339973272724,2.7376694941121137e-4,0.006965262194156778
Seq_153,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,Čertovo,48 h,Oxic,Labelled,53.570511989730555,1.7213748713654087,0.2621071433713549,3.9809459966525157e-10,3.1748044323303815e-8
Seq_414,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Acidipila,Čertovo,48 h,Oxic,Labelled,58.11234863855128,2.8043363913508186,0.3034167645804546,1.5640787027414164e-17,3.628662590360086e-15
