Comparison,ASV,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Certovo & Oxic & Labelled,Seq_56,22.758509033389664,1.2351779568071868,0.26826160159559553,3.6351753326115896,1.3889582063340806e-4,0.004077323366225439
Certovo & Oxic & Labelled,Seq_817,22.4958751722318,3.6025215507380497,0.544765770270902,6.135704064291475,4.239142810878301e-10,3.15250920368983e-8
Certovo & Oxic & Labelled,Seq_707,19.09103824717021,1.6169078552930323,0.3817273256031313,3.554652141156283,1.8923973441144408e-4,0.005419376833994325
Certovo & Oxic & Labelled,Seq_1198,18.581361464421057,5.936951485123096,0.9197562620996822,6.172234665913951,3.366573202121826e-10,2.589939591011653e-8
Certovo & Oxic & Labelled,Seq_693,16.297672116304756,1.3941713472793669,0.23750663398770083,4.77532491718989,8.970866550949256e-7,3.848846783686114e-5
Certovo & Oxic & Labelled,Seq_374,14.734709061671772,0.9527153514097694,0.16727775260310818,4.14110866884577,1.7281557684578584e-5,5.931562337583819e-4
Certovo & Oxic & Labelled,Seq_1072,14.433638492277268,5.144663400578098,0.711941205982138,6.8610488612463465,3.4178387866455867e-12,3.4659992422755925e-10
Certovo & Oxic & Labelled,Seq_503,14.430804504415818,2.8479821453068124,0.4892757546655812,5.289414242640516,6.135434913016743e-8,3.0418122868756344e-6
Certovo & Oxic & Labelled,Seq_821,13.873720100448176,2.1719102757929862,0.30756715998118794,6.2162367266711,2.5460981513310134e-10,2.028694634149818e-8
Certovo & Oxic & Labelled,Seq_811,11.715363430633522,1.819870576409699,0.34143992595243194,4.568506662068026,2.456057294748181e-6,1.0147155230709615e-4
Certovo & Oxic & Labelled,Seq_1044,11.389471808288825,3.7097350837629066,0.6545667967398027,5.270256757515021,6.811652718826044e-8,3.2333611097235966e-6
Certovo & Oxic & Labelled,Seq_914,11.15283541842537,2.4200166026027907,0.3976362417598008,5.432142183628189,2.784076356308748e-8,1.4788748454582898e-6
Certovo & Oxic & Labelled,Seq_1111,10.899216933258385,1.578723810685152,0.3872458238317807,3.4053919488051205,3.303457658536176e-4,0.008773826233564534
Certovo & Oxic & Labelled,Seq_198,10.193394932153417,3.0178181124210104,0.7766360915645498,3.5509785630298585,1.9190083813785375e-4,0.005419376833994325
Certovo & Oxic & Labelled,Seq_700,8.705608548260411,1.3377997371937194,0.3251959271220379,3.31430884369363,4.593498607363595e-4,0.011514713924750763
Certovo & Oxic & Labelled,Seq_298,7.943044265915608,1.778557497752661,0.2777092683572873,5.468155624532338,2.2737127135051338e-8,1.2681632659574884e-6
Certovo & Oxic & Labelled,Seq_1654,7.281224209063002,6.147864476694521,0.8202116030949986,7.178470110002305,3.524789912625956e-13,3.931903147534254e-11
Certovo & Oxic & Labelled,Seq_1610,6.829770520150509,4.548969127122796,0.6345439912213182,6.7591359881412485,6.9408528727232705e-12,6.558624553675142e-10
Certovo & Oxic & Labelled,Seq_937,6.768445602490664,1.3627961441151837,0.33176765045038753,3.3240014287652664,4.4367870648410443e-4,0.011248263570068601
Certovo & Oxic & Labelled,Seq_1463,6.732011365528565,2.014859890646532,0.3974687129326102,4.415089373195681,5.04841334893782e-6,1.9418983071517717e-4
Certovo & Oxic & Labelled,Seq_1453,6.646765756703295,2.0905700951472004,0.39772247846154923,4.602631720057973,2.0859277399378105e-6,8.780575071323122e-5
Certovo & Oxic & Labelled,Seq_1806,6.390782308119235,5.160780307659484,0.8303627639821789,5.901975040591612,1.7958775677525601e-9,1.252063391767488e-7
Certovo & Oxic & Labelled,Seq_1460,6.052401250031847,1.8833763817908526,0.45688012809650247,3.5531779168297777,1.9030347734023693e-4,0.005419376833994325
Certovo & Oxic & Labelled,Seq_2045,5.860880137338316,5.604353420135928,0.9786822047594106,5.460764887872597,2.3704377581442858e-8,1.2898650337609516e-6
Certovo & Oxic & Labelled,Seq_1001,5.797562363366011,3.3901000555330194,0.5768130131697178,5.426542023267493,2.8728151203963055e-8,1.4905233799079435e-6
Certovo & Oxic & Labelled,Seq_1058,5.458139673107014,2.1969691322811933,0.5285449318048911,3.6647199050169164,1.238047067873214e-4,0.0036827773445668533
Certovo & Oxic & Labelled,Seq_2267,5.42707732983983,5.952056377307422,0.9721955851682184,5.8548469712733056,2.3872471687848866e-9,1.6139237677451764e-7
Certovo & Oxic & Labelled,Seq_1724,4.559505181728627,3.2452005309035044,0.5389789593508739,5.538621645822256,1.5243072925311632e-8,8.949288341150066e-7
Certovo & Oxic & Labelled,Seq_2220,4.1707117350080924,5.213237537514615,0.7444302001586109,6.653729975569585,1.4287836786056762e-11,1.2750465547877055e-9
Certovo & Oxic & Labelled,Seq_2153,3.9485689250625184,3.361009196742966,0.5656043920716186,5.482646952908221,2.0950434226562502e-8,1.198472275883614e-6
Certovo & Oxic & Labelled,Seq_2033,3.916377961533307,5.138906208985948,0.8455416485550492,5.7701548082504726,3.959937066982167e-9,2.52417702755349e-7
Certovo & Oxic & Labelled,Seq_1903,3.414408998274879,1.511931013573046,0.4217735181564377,2.9682541925467665,0.001497482702963954,0.03631395554687589
Certovo & Oxic & Labelled,Seq_2640,3.367281168207032,5.145969812186186,0.8607014709017181,5.676729943388358,6.864698067811155e-9,4.254205941468524e-7
Certovo & Oxic & Labelled,Seq_2203,3.2398185095250165,1.761344541172063,0.39239539337988993,3.8261013419150043,6.50943557190356e-5,0.001989390515194088
Certovo & Oxic & Labelled,Seq_2546,2.9277698409785513,4.466755972400933,0.9618410899799996,4.373649676880001,6.109320078337674e-6,2.3101513719951441e-4
Certovo & Oxic & Labelled,Seq_1257,2.8509583193380648,2.9906596358856072,0.6758363728569333,4.040415321747793,2.667831390940276e-5,8.883480348041426e-4
Certovo & Oxic & Labelled,Seq_2811,2.714884313902224,4.461650592281449,0.7950386442398091,5.284838193367237,6.290795677803087e-8,3.0510359037344974e-6
Certovo & Oxic & Labelled,Seq_2390,2.657312298888115,2.4384603417928825,0.6522383192688043,3.3399760140358796,4.1892813014334965e-4,0.010742858141951873
Certovo & Oxic & Labelled,Seq_1762,2.6189598742145352,3.436833281397588,0.7609791800551952,4.174665174370693,1.4921231756751463e-5,5.240557528867232e-4
Certovo & Oxic & Labelled,Seq_2181,2.55988075340258,4.158046037633675,0.9754296725885468,3.9962348359664257,3.217894698046477e-5,0.0010557533928443664
Certovo & Oxic & Labelled,Seq_3164,2.172803105015654,4.263881342494875,1.0300241748496821,3.8871722045545063,5.070940362168514e-5,0.001598427055063227
Certovo & Oxic & Labelled,Seq_2786,2.1464890990855996,3.518089285193752,0.7807622686689003,4.172959447372344,1.5033423659681886e-5,5.240557528867232e-4
Certovo & Oxic & Labelled,Seq_2808,2.1234440694062884,3.1798240351376257,0.845433082667828,3.4536429848757515,2.7653451221424204e-4,0.007523762155487487
Certovo & Oxic & Labelled,Seq_2151,1.7381017870190778,3.8944497570006793,0.8925163365972103,4.072138075205781,2.3291774869644693e-5,7.873325717299593e-4
Certovo & Oxic & Labelled,Seq_1388,1.6558598647865959,2.5531542973334744,0.7330061039161232,3.12842455892547,8.787306024244037e-4,0.021543384329767528
Certovo & Oxic & Labelled,Seq_1497,1.5868744531565198,3.1166999463581635,0.9785023673630165,2.919461456242293,0.0017531837607341018,0.04161013798082746
Certovo & Oxic & Labelled,Seq_162,1.3932259073278093,3.4850656444331123,0.8351888791154616,3.861480588497227,5.635098394481344e-5,0.0017460978497344274
Certovo & Oxic & Labelled,Seq_3603,1.3908701407397381,3.8444208323211866,0.7887392813951875,4.544493873794096,2.753370438448033e-6,1.1168671723959202e-4
Certovo & Oxic & Labelled,Seq_2992,1.31332570639065,2.882545490652967,0.779790021780254,3.363143176243417,3.8530192880867353e-4,0.010113042390260596
Certovo & Oxic & Labelled,Seq_3527,1.2999201369191766,2.390965229274347,0.5721669656896969,3.7243765492571836,9.789924768831935e-5,0.0029515300215221685
Certovo & Oxic & Labelled,Seq_3641,1.2867680245229212,3.51142056233007,0.8366128563306832,3.88640998967018,5.0868812599502066e-5,0.001598427055063227
Certovo & Oxic & Labelled,Seq_3846,1.2442609725878853,2.0235338114178556,0.6159192768574528,2.8632547765281333,0.0020965662429342957,0.04872332591652514
Certovo & Oxic & Labelled,Seq_3964,1.1184156766054034,3.6932853993123285,0.876865723121204,3.9154060978590284,4.5126083393568406e-5,0.0014590766963920453
Certovo & Oxic & Labelled,Seq_3403,0.9962889300817518,3.118244686795661,0.812467620006812,3.5179798141022487,2.1742271954629022e-4,0.006063376091347168
Certovo & Oxic & Labelled,Seq_2799,0.9858435403979465,2.0513835743811435,0.6178675875549849,2.8993001258893933,0.0018699835539915004,0.043915087462684604
Certovo & Oxic & Labelled,Seq_1555,0.931001024632063,3.0124185160459738,0.8348963287888478,3.29671891124351,4.891067427177143e-4,0.012124412700035784
Certovo & Oxic & Labelled,Seq_2365,0.9256798951161326,3.0144526753432754,0.7966644027087603,3.457481802849212,2.7262453230929084e-4,0.007508954710889233
Certovo & Oxic & Labelled,Seq_4612,0.8845841935726756,3.075742617159047,0.6356061401958247,4.430011667746855,4.711399498329694e-6,1.844058294872552e-4
