Comparison,ASV,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Plesne & Oxic & Labelled,Seq_97,20.736506058428795,4.458905800125548,0.5313644405944508,8.391426786363908,2.4013869593960027e-17,2.078914996277111e-15
Plesne & Oxic & Labelled,Seq_138,20.613255622603123,3.0651447375511576,0.34392553123864106,8.912233780702755,2.500726913788031e-19,2.8414509557916504e-17
Plesne & Oxic & Labelled,Seq_195,19.200828132341606,0.6239546798632907,0.14044587019423393,4.442670183184264,4.442465365829494e-6,9.07460902817755e-5
Plesne & Oxic & Labelled,Seq_503,17.9226703990046,3.8830578166478094,0.40318388765536367,9.630984609104708,2.9579929888048922e-22,4.136639425882534e-20
Plesne & Oxic & Labelled,Seq_183,17.735634453971606,0.3789613224564416,0.12440914097604609,3.0460890532907654,0.0011591957887884799,0.013509089384727283
Plesne & Oxic & Labelled,Seq_571,17.334029012018778,1.11462815028943,0.17205462847667477,6.478338654170752,4.636901273237762e-11,2.0071158368443453e-9
Plesne & Oxic & Labelled,Seq_378,17.221438982634826,2.036827774061443,0.2702787001358461,7.536027711535179,2.4225183313428023e-14,1.5729065451361481e-12
Plesne & Oxic & Labelled,Seq_304,16.876234833358968,0.7406302300935833,0.15662276919088447,4.728751981079698,1.1295206833782128e-6,2.474058557086254e-5
Plesne & Oxic & Labelled,Seq_293,16.839421258353546,0.4745569088478949,0.1170962522891968,4.052707918233495,2.5314097449512498e-5,4.51186560423664e-4
Plesne & Oxic & Labelled,Seq_367,15.451458213513204,1.1927864118931,0.22405888649468406,5.323539853981197,5.088357182750528e-8,1.3603872585647735e-6
Plesne & Oxic & Labelled,Seq_1142,15.449587124472343,2.652061259653078,0.5552853476848361,4.776033206549349,8.939344108413081e-7,2.013372305309463e-5
Plesne & Oxic & Labelled,Seq_145,15.372946112768398,0.42623564735269537,0.12167760793149603,3.5029916728200656,2.3003192277268027e-4,0.003345584284805862
Plesne & Oxic & Labelled,Seq_221,15.214179541160576,2.194077184386295,0.3070372337920681,7.145964537552371,4.4683065353346627e-13,2.5385566503870054e-11
Plesne & Oxic & Labelled,Seq_281,15.083718599154933,0.7885868116041347,0.18524484030012106,4.256997443634706,1.0359536189619247e-5,1.9688780567766293e-4
Plesne & Oxic & Labelled,Seq_897,14.74467997361826,0.4344988013132137,0.1384867786245533,3.137474967853562,8.520491231728376e-4,0.010757120180057075
Plesne & Oxic & Labelled,Seq_1139,14.596837722602924,1.69826915044241,0.2580640402649699,6.580805092792838,2.3395381681839984e-11,1.0633200974396273e-9
Plesne & Oxic & Labelled,Seq_41,14.49698888470693,0.8178734782901645,0.1308532543172895,6.250310567798388,2.0481865167861132e-10,8.094789320689464e-9
Plesne & Oxic & Labelled,Seq_361,14.03081572758201,4.627096093965476,0.9029233926596785,5.124572174761982,1.4910705064750945e-7,3.713378329824276e-6
Plesne & Oxic & Labelled,Seq_1231,13.918096218514437,3.3741676732711308,0.42891146335826374,7.866816258190646,1.818901653403971e-15,1.3778180024535079e-13
Plesne & Oxic & Labelled,Seq_298,13.633571710701684,0.95839153206624506,0.17956649305801675,5.337251486871747,4.718305554140893e-8,1.2802805220042003e-6
Plesne & Oxic & Labelled,Seq_60,13.391897013609617,0.501774973784653,0.16986741472923686,2.953921295526078,0.001568820072582326,0.017605647481201657
Plesne & Oxic & Labelled,Seq_202,12.858187682222429,1.0965427920507775,0.2460650369378193,4.456312874420571,4.169065808541275e-6,8.61291095446368e-5
Plesne & Oxic & Labelled,Seq_323,12.666861901729101,0.5328997930958921,0.17073638661369817,3.121184673432333,9.006251871370245e-4,0.01121463417955555
Plesne & Oxic & Labelled,Seq_164,12.603955903898866,1.7944976661943797,0.23319974098098434,7.695110031621807,7.0686231781995704e-15,5.140302775186727e-13
Plesne & Oxic & Labelled,Seq_1003,12.493894544925908,1.8444246526791912,0.32695577442568446,5.641205315670057,8.443192665519914e-9,2.6929340817395095e-7
Plesne & Oxic & Labelled,Seq_1257,12.30360616202184,2.793728076972035,0.41613764635873024,6.7134711348939335,9.502411353141172e-12,4.5461536421080663e-10
Plesne & Oxic & Labelled,Seq_406,12.245595939080845,0.36076295862023866,0.13087267512415032,2.7565949750626437,0.002920332403057026,0.02982676577953749
Plesne & Oxic & Labelled,Seq_153,12.24415471285029,0.4765623251409121,0.1816145459321354,2.624031696882864,0.0043447848976224815,0.04246676851547135
Plesne & Oxic & Labelled,Seq_475,11.906250867198265,0.8709891903115337,0.28351677392671765,3.0720905089610806,0.001062826309195769,0.012711962040249396
Plesne & Oxic & Labelled,Seq_104,11.577503251223177,0.8757169500331454,0.22212812500150217,3.942395633273469,4.0335879100571146e-5,6.917983792909279e-4
Plesne & Oxic & Labelled,Seq_225,11.099099976898545,5.986766484341476,0.8070581540797851,7.418011272270262,5.944599219056753e-14,3.726648751808682e-12
Plesne & Oxic & Labelled,Seq_198,11.016738193906466,4.939718399293998,1.3555001990144977,3.6442033744335625,1.341106363621756e-4,0.002048849889970044
Plesne & Oxic & Labelled,Seq_54,10.784693783264153,3.34948388052979,0.898367242706815,3.728412748485426,9.634479981510344e-5,0.0015230856179465919
Plesne & Oxic & Labelled,Seq_682,10.4538844162968,0.6079095564606474,0.19103102020737947,3.18225571847291,7.306636570319417e-4,0.009420897365135248
Plesne & Oxic & Labelled,Seq_499,10.17747868800808,0.6740734009461078,0.21847007736353105,3.085426659251186,0.0010163017288827576,0.012317576954059021
Plesne & Oxic & Labelled,Seq_405,9.86833921860535,1.01123218893628,0.25520557585130244,3.9624220025877595,3.7096624626015196e-5,6.484775343278426e-4
Plesne & Oxic & Labelled,Seq_161,9.410535958120152,1.38768034549948,0.2284598074754933,6.07406773573656,6.23550415216579e-10,2.361697197632793e-8
Plesne & Oxic & Labelled,Seq_825,9.401232648278329,2.6402729809783323,0.3649342684689771,7.234927517372299,2.3288891655367327e-13,1.3657808074018646e-11
Plesne & Oxic & Labelled,Seq_114,9.357679025957431,5.993344986717805,1.1606756658670108,5.1636690274202035,1.2107785580037173e-7,3.0572158589593862e-6
Plesne & Oxic & Labelled,Seq_1239,9.225155313615929,2.16001694106703,0.39192180077696603,5.511346745154009,1.7804920541267825e-8,5.137991356194429e-7
Plesne & Oxic & Labelled,Seq_1361,8.9306938786295,1.5386960221489336,0.35300431972598023,4.358858903889185,6.5371184341682e-6,1.305986957507449e-4
Plesne & Oxic & Labelled,Seq_1346,8.869233069288198,2.5015872436109805,0.43724131947553296,5.721296529366465,5.2857103438467826e-9,1.7471675282024457e-7
Plesne & Oxic & Labelled,Seq_882,8.770152864354761,0.9874613710277284,0.24938369617488504,3.9596067672974593,3.753663805173347e-5,6.499200759814424e-4
Plesne & Oxic & Labelled,Seq_683,8.428062946265308,0.471304581382483,0.16743728125571447,2.814812674022667,0.002440283692635019,0.025944068732224938
Plesne & Oxic & Labelled,Seq_431,8.345674371959921,1.28128939586611,0.23170016619950212,5.529945950763255,1.6016473471371295e-8,4.6964433501537123e-7
Plesne & Oxic & Labelled,Seq_1082,8.109128739952332,1.1174540845069798,0.26164399550008544,4.270895200064375,9.734494349050351e-6,1.8826926304865466e-4
Plesne & Oxic & Labelled,Seq_819,8.071678530878192,1.3294570585882899,0.2810675186180787,4.7300273796304015,1.1224477958441987e-6,2.474058557086254e-5
Plesne & Oxic & Labelled,Seq_374,7.828601867199511,0.9788729998848431,0.21939325353927863,4.46172789770672,4.0650710110035756e-6,8.49459666437299e-5
Plesne & Oxic & Labelled,Seq_1101,7.667783675991033,0.6215733154278652,0.22393013294592126,2.7757466458432107,0.0027537553671275637,0.028810962826069913
